نوع البطوله,الفريق الاول,الفريق الثاني,موعد المباراه,النتيجة
كأس الأمم الأفريقية,السنغال,المغرب,21:00,- - -
الدوري الإنجليزي,وولفرهامبتون,نيوكاسل,16:00,- - -
الدوري الإنجليزي,أستون فيلا,إيفرتون,18:30,- - -
الدوري الإسباني,خيتافي,فالنسيا,15:00,0 - 0
الدوري الإسباني,اتلتيكو مدريد,ألافيس,17:15,- - -
الدوري الإسباني,سيلتا فيجو,رايو فاييكانو,19:30,- - -
الدوري الإسباني,ريال سوسيداد,برشلونة,22:00,- - -
الدوري الإيطالي,بارما,جنوى,13:30,0 - 0
الدوري الإيطالي,بولونيا,فيورنتينا,16:00,- - -
الدوري الإيطالي,تورينو,روما,19:00,- - -
الدوري الإيطالي,ميلان,ليتشي,21:45,- - -
الدوري الفرنسي,ستراسبورج,ميتز,16:00,- - -
الدوري الفرنسي,نانت,نادي باريس,18:15,- - -
الدوري الفرنسي,رين,لوهافر,18:15,- - -
الدوري الفرنسي,ليون,بريست,21:45,- - -
الدوري الألماني,شتوتجارت,يونيون برلين,16:30,- - -
الدوري الألماني,أوجسبورج,فرايبورج,18:30,- - -
الدوري السعودي,الحزم,القادسية,17:15,- - -
الدوري السعودي,نادي نيوم,الهلال,19:30,- - -
الدوري السعودي,الرياض,التعاون,19:30,- - -
الدوري التركي,قاسم باشا,انطاليا سبور,13:30,0 - 0
الدوري التركي,جنتشلربيرليجي,سامسون سبور,16:00,- - -
الدوري التركي,كوجالي سبور,طرابزون سبور,16:00,- - -
الدوري التركي,ألانيا سبور,فنربخشة,19:00,- - -
الدوري البرتغالي,سانتا كلارا,فاماليكاو,17:30,- - -
الدوري البرتغالي,تونديلا,سبورتينج براجا,20:00,- - -
الدوري البرتغالي,فيتوريا جيماريش,بورتو,22:30,- - -
الدوري الإماراتي,بني ياس,البطائح,15:05,0 - 0
الدوري الإماراتي,الشــارقة,اتحاد كلباء,17:45,- - -
