نوع البطوله,الفريق الاول,الفريق الثاني,موعد المباراه,النتيجة
كأس الأمم الأفريقية,السنغال,مصر,19:00,1 - 0
كأس الأمم الأفريقية,نيجيريا,المغرب,22:00,0 - 0
كأس ملك أسبانيا,الباسيتي,ريال مدريد,22:00,3 - 2
كأس ملك أسبانيا,ريال بيتيس,إلتشي,22:00,2 - 1
كأس ملك أسبانيا,ألافيس,رايو فاييكانو,22:00,2 - 0
الدوري الإيطالي,نابولي,بارما,19:30,0 - 0
الدوري الإيطالي,إنتر ميلان,ليتشي,21:45,1 - 0
الدوري الألماني,فولفسبورج,سانت باولي,19:30,2 - 1
الدوري الألماني,لايبزيج,فرايبورج,21:30,2 - 0
الدوري الألماني,كولن,بايرن ميونيخ,21:30,1 - 3
الدوري الألماني,هوفنهايم,مونشنجلادباخ,21:30,5 - 1
كأس كاراباو,تشيلسي,أرسنال,22:00,2 - 3
الدوري السعودي,القادسية,الفيحاء,16:45,5 - 0
الدوري السعودي,الشباب,نادي نيوم,19:30,3 - 2
الدوري السعودي,أهلي جدة,التعاون,19:30,2 - 1
الدوري الإماراتي,الشــارقة,البطائح,17:45,0 - 2
